state,year,indicator,value
Selangor,2021,total_receipts_rm_million,3159.0
Selangor,2022,total_receipts_rm_million,8735.0
Selangor,2023,total_receipts_rm_million,11103.0
Selangor,2024,total_receipts_rm_million,14226.0
Selangor,2018,domestic_visitors_thousand,30179.0
Selangor,2019,domestic_visitors_thousand,33589.0
Selangor,2020,domestic_visitors_thousand,19715.0
Selangor,2021,domestic_visitors_thousand,10212.0
Selangor,2022,domestic_visitors_thousand,21990.0
Selangor,2023,domestic_visitors_thousand,27579.0
Selangor,2024,domestic_visitors_thousand,34461.0
Selangor,2018,domestic_trips_thousand,41388.0
Selangor,2019,domestic_trips_thousand,45766.0
Selangor,2020,domestic_trips_thousand,21898.0
Selangor,2021,domestic_trips_thousand,11319.0
Selangor,2022,domestic_trips_thousand,25988.0
Selangor,2023,domestic_trips_thousand,28949.0
Selangor,2024,domestic_trips_thousand,37023.0
Selangor,2018,avg_receipts_per_capita_rm,437.0
Selangor,2019,avg_receipts_per_capita_rm,463.0
Selangor,2020,avg_receipts_per_capita_rm,358.0
Selangor,2021,avg_receipts_per_capita_rm,309.0
Selangor,2022,avg_receipts_per_capita_rm,397.0
Selangor,2023,avg_receipts_per_capita_rm,403.0
Selangor,2024,avg_receipts_per_capita_rm,413.0
Selangor,2018,avg_receipts_per_trip_rm,319.0
Selangor,2019,avg_receipts_per_trip_rm,340.0
Selangor,2020,avg_receipts_per_trip_rm,322.0
Selangor,2021,avg_receipts_per_trip_rm,279.0
Selangor,2022,avg_receipts_per_trip_rm,336.0
Selangor,2023,avg_receipts_per_trip_rm,384.0
Selangor,2024,avg_receipts_per_trip_rm,384.0
Selangor,2018,avg_length_of_stay_nights,1.87
Selangor,2019,avg_length_of_stay_nights,2.24
Selangor,2020,avg_length_of_stay_nights,1.64
Selangor,2021,avg_length_of_stay_nights,1.83
Selangor,2022,avg_length_of_stay_nights,2.32
Selangor,2023,avg_length_of_stay_nights,2.24
Selangor,2024,avg_length_of_stay_nights,2.24
Terengganu,2018,total_receipts_rm_million,5585.0
Terengganu,2019,total_receipts_rm_million,5990.0
Terengganu,2020,total_receipts_rm_million,2255.0
Terengganu,2021,total_receipts_rm_million,984.0
Terengganu,2022,total_receipts_rm_million,3363.0
Terengganu,2023,total_receipts_rm_million,4192.0
Terengganu,2024,total_receipts_rm_million,5170.0
Terengganu,2018,domestic_visitors_thousand,13742.0
Terengganu,2019,domestic_visitors_thousand,14158.0
Terengganu,2020,domestic_visitors_thousand,7420.0
